,Predictable end sentence,Unpredictable end sentence,Taget word,pred_num_letters,pred_end_n_LPC,pred_num_words,unpred_num_letters,unpred_end_n_LPC,unpred_num_words,delta_tletters,delta_words,phon_pred,phon_unpred
31,Le pêcheur a facilement mis l'appât sur l'hameçon.,L'étudiant est rapidement allé s'acheter un nouvel hameçon.,hameçon,42,"8, except ['facilement', ""l'appât"", ""l'hameçon""], check the cv for: {'le': 1, 'a': 1, 'mis': 1, 'sur': 2}",8,51,"7, except [""l'étudiant"", 'rapidement', ""s'acheter"", 'hameçon'], check the cv for: {'est': 1, 'un': 1}",8,-9,0,"l2   pE-S9-R   a   mi   sy-R   ,except ['facilement', ""l'appât"", ""l'hameçon""], check the phon for: {'le': 'l2', 'a': 'a', 'mis': 'mi', 'sur': 'syR'}","e   a-le   1   nu-vE-l   ,except [""l'étudiant"", 'rapidement', ""s'acheter"", 'hameçon'], check the phon for: {'est': 'e', 'un': '1'}"
32,Claire a emménagé dans son appartement peu après avoir signé le contrat.,Sacha a vite demandé un rendez-vous après avoir relu son contrat.,contrat/bail,60,"24, except ['appartement'], check the cv for: {'claire': 3, 'a': 1, 'son': 1, 'peu': 1, 'après': 3, 'avoir': 4, 'signé': 2, 'le': 1}",12,54,"18, except ['sacha', 'demandé', 'relu'], check the cv for: {'a': 1, 'vite': 2, 'un': 1, 'après': 3, 'avoir': 4, 'son': 1}",12,6,0,"k-lE-R   a   @-me-na-Ze   d@   s§   p2   a-p-RE   a-v-wa-R   si-Ne   l2   k§-t-Ra   ,except ['appartement'], check the phon for: {'claire': 'klER', 'a': 'a', 'son': 's§', 'peu': 'p2', 'après': 'apRE', 'avoir': 'avwaR', 'signé': 'siNe', 'le': 'l2'}","a   vi-t   1   R@-de   vu   a-p-RE   a-v-wa-R   s§   k§-t-Ra   ,except ['sacha', 'demandé', 'relu'], check the phon for: {'a': 'a', 'vite': 'vit', 'un': '1', 'après': 'apRE', 'avoir': 'avwaR', 'son': 's§'}"
33,"Sales et usées, les bottes de pluie étaient couvertes de boue.","Nettoyé et rangé, le balcon ne comportait plus de traces de boue.",boue,50,"20, check the cv for: {'sales': 2, 'usées': 2, 'les': 1, 'bottes': 2, 'de': 1, 'étaient': 2, 'couvertes': 4}",11,52,"24, check the cv for: {'rangé': 2, 'le': 1, 'plus': 2, 'de': 1, 'traces': 3}",12,-2,-1,"sa-l   e   y-ze   le   bO-t   d2   p-l-8i   e-tE   ku-vE-R-t   d2   bu   ,check the cv for: {'sales': 'sal', 'usées': 'yze', 'les': 'le', 'bottes': 'bOt', 'de': 'd2', 'étaient': 'etE', 'couvertes': 'kuvERt'}","ne-t-wa-je   e   R@-Ze   l2   ba-l-k§   n2   k§-pO-R-tE   p-ly   d2   t-Ra-s   d2   bu   ,check the cv for: {'rangé': 'R@Ze', 'le': 'l2', 'plus': 'ply', 'de': 'd2', 'traces': 'tRas'}"
34,Le policier est entré dans le bâtiment et a montré son badge.,L'enfant a perdu la course mais a reçu un badge.,badge,49,"23, check the cv for: {'le': 1, 'policier': 4, 'est': 1, 'a': 1, 'son': 1}",12,38,"14, except [""l'enfant"", 'reçu'], check the cv for: {'a': 1, 'perdu': 3, 'la': 1, 'course': 3, 'mais': 1, 'un': 1}",10,11,2,"l2   po-li-s-je   e   @-t-Re   d@   l2   ba-ti-m@   e   a   m§-t-Re   s§   ba-d-Z   ,check the cv for: {'le': 'l2', 'policier': 'polisje', 'est': 'e', 'a': 'a', 'son': 's§'}","a   pE-R-dy   la   ku-R-s   mE   a   1   ba-d-Z   ,except [""l'enfant"", 'reçu'], check the phon for: {'a': 'a', 'perdu': 'pERdy', 'la': 'la', 'course': 'kuRs', 'mais': 'mE', 'un': '1'}"
35,L'événement de déstockage dans tout le magasin a attiré une immense foule.,La boutique d'antiquité était dans une rue épargnée par la foule.,foule,62,"23, except [""l'événement""], check the cv for: {'de': 1, 'tout': 1, 'le': 1, 'a': 1, 'une': 2, 'foule': 2}",12,54,"19, except [""d'antiquité""], check the cv for: {'la': 1, 'était': 2, 'une': 2, 'rue': 1, 'par': 2, 'foule': 2}",11,8,1,"d2   de-s-tO-ka-Z   d@   tu   l2   ma-ga-z5   a   a-ti-Re   y-n   i-m@-s   fu-l   ,except [""l'événement""], check the phon for: {'de': 'd2', 'tout': 'tu', 'le': 'l2', 'a': 'a', 'une': 'yn', 'foule': 'ful'}","la   bu-ti-k   e-tE   d@   y-n   Ry   e-pa-R-Ne   pa-R   la   fu-l   ,except [""d'antiquité""], check the phon for: {'la': 'la', 'était': 'etE', 'une': 'yn', 'rue': 'Ry', 'par': 'paR', 'foule': 'ful'}"
36,Manon était triste de voir que son poisson rouge était mort.,Dina était surprise d'appendre que Valentin était mort.,mort,49,"21, except ['manon'], check the cv for: {'était': 2, 'de': 1, 'que': 1, 'son': 1, 'rouge': 2, 'mort': 2}",11,47,"15, except ['dina', ""d'appendre""], check the cv for: {'était': 2, 'surprise': 5, 'que': 1, 'mort': 2}",8,2,3,"e-tE   t-Ri-s-t   d2   v-wa-R   k2   s§   p-wa-s§   Ru-Z   e-tE   mO-R   ,except ['manon'], check the phon for: {'était': 'etE', 'de': 'd2', 'que': 'k2', 'son': 's§', 'rouge': 'RuZ', 'mort': 'mOR'}","e-tE   sy-R-p-Ri-z   k2   va-l@-t5   e-tE   mO-R   ,except ['dina', ""d'appendre""], check the phon for: {'était': 'etE', 'surprise': 'syRpRiz', 'que': 'k2', 'mort': 'mOR'}"
37,Elle a dit à son petit ami barbu qu'il devait se raser.,Elle a dit à son frère qu'il devait vraiment se raser.,raser,43,"14, except ['petit', ""qu'il"", 'devait'], check the cv for: {'a': 1, 'dit': 1, 'son': 1, 'ami': 2, 'barbu': 3}",12,43,"15, except [""qu'il"", 'devait'], check the cv for: {'a': 1, 'dit': 1, 'son': 1}",11,0,1,"E-l   a   di   a   s§   a-mi   ba-R-by   s2   Ra-ze   ,except ['petit', ""qu'il"", 'devait'], check the phon for: {'a': 'a', 'dit': 'di', 'son': 's§', 'ami': 'ami', 'barbu': 'baRby'}","E-l   a   di   a   s§   f-RE-R   v-RE-m@   s2   Ra-ze   ,except [""qu'il"", 'devait'], check the phon for: {'a': 'a', 'dit': 'di', 'son': 's§'}"
38,L'enseignant avait peur des microbes et de tomber malade.,Il est venu dans la chambre et est maintenant malade.,malade,48,"16, except [""l'enseignant""], check the cv for: {'avait': 2, 'de': 1, 'malade': 3}",9,43,"13, except ['venu', 'maintenant'], check the cv for: {'il': 2, 'est': 1, 'la': 1, 'chambre': 3, 'malade': 3}",10,5,-1,"a-vE   p2-R   de   mi-k-RO-b   e   d2   t§-be   ma-la-d   ,except [""l'enseignant""], check the phon for: {'avait': 'avE', 'de': 'd2', 'malade': 'malad'}","i-l   e   d@   la   S@-b-R   e   e   ma-la-d   ,except ['venu', 'maintenant'], check the phon for: {'il': 'il', 'est': 'e', 'la': 'la', 'chambre': 'S@bR', 'malade': 'malad'}"
39,Il avait donné vingt euros après avoir perdu le pari.,Il est parti en vacances après avoir gagner un pari.,pari,43,"22, check the cv for: {'il': 2, 'avait': 2, 'donné': 2, 'après': 3, 'avoir': 4, 'perdu': 3, 'le': 1}",10,42,"22, check the cv for: {'il': 2, 'est': 1, 'parti': 3, 'en': 1, 'après': 3, 'avoir': 4, 'un': 1}",10,1,0,"i-l   a-vE   do-ne   v5   2-Ro   a-p-RE   a-v-wa-R   pE-R-dy   l2   pa-Ri   ,check the cv for: {'il': 'il', 'avait': 'avE', 'donné': 'done', 'après': 'apRE', 'avoir': 'avwaR', 'perdu': 'pERdy', 'le': 'l2'}","i-l   e   pa-R-ti   @   va-k@-s   a-p-RE   a-v-wa-R   ga-Ne   1   pa-Ri   ,check the cv for: {'il': 'il', 'est': 'e', 'parti': 'paRti', 'en': '@', 'après': 'apRE', 'avoir': 'avwaR', 'un': '1'}"
40,Albert vivait dans une hutte en chaume qu'il avait lui-même construite.,Hugo regardait la grande fontaine que sa grand-mère avait construite.,construite,60,"22, except ['albert', ""qu'il""], check the cv for: {'une': 2, 'en': 1, 'avait': 2, 'lui': 2, 'même': 2}",12,59,"21, except ['hugo', 'regardait'], check the cv for: {'la': 1, 'grande': 3, 'que': 1, 'sa': 1, 'grand': 2, 'avait': 2}",11,1,1,"vi-vE   d@   y-n   y-t   @   So-m   a-vE   l-8i   mE-m   k§-s-t-R-8i-t   ,except ['albert', ""qu'il""], check the phon for: {'une': 'yn', 'en': '@', 'avait': 'avE', 'lui': 'l8i', 'même': 'mEm'}","la   g-R@-d   f§-tE-n   k2   sa   g-R@   mE-R   a-vE   k§-s-t-R-8i-t   ,except ['hugo', 'regardait'], check the phon for: {'la': 'la', 'grande': 'gR@d', 'que': 'k2', 'sa': 'sa', 'grand': 'gR@', 'avait': 'avE'}"
41,Le randonneur ne savait pas qu'il avait marché si loin.,La dame supposait qu'ils étaient allé trop loin.,loin,45,"17, except [""qu'il""], check the cv for: {'le': 1, 'pas': 1, 'avait': 2, 'marché': 3, 'si': 1}",10,40,"14, except [""qu'ils""], check the cv for: {'la': 1, 'dame': 2, 'étaient': 2}",8,5,2,"l2   R@-do-n9-R   n2   sa-vE   pa   a-vE   ma-R-Se   si   l-w5   ,except [""qu'il""], check the phon for: {'le': 'l2', 'pas': 'pa', 'avait': 'avE', 'marché': 'maRSe', 'si': 'si'}","la   da-m   sy-po-zE   e-tE   a-le   t-Ro   l-w5   ,except [""qu'ils""], check the phon for: {'la': 'la', 'dame': 'dam', 'étaient': 'etE'}"
42,"Avec des vêtements éparpillés partout, sa chambre était en désordre.","Après l'élection municipale, toute la ville était en désordre.",désordre,57,"24, except ['vêtements'], check the cv for: {'éparpillés': 5, 'sa': 1, 'chambre': 3, 'était': 2, 'en': 1}",10,52,"21, except [""l'élection""], check the cv for: {'après': 3, 'toute': 2, 'la': 1, 'était': 2, 'en': 1}",9,5,1,"a-vE-k   de   e-pa-R-pi-je   pa-R-tu   sa   S@-b-R   e-tE   @   de-zO-R-d-R   ,except ['vêtements'], check the phon for: {'éparpillés': 'epaRpije', 'sa': 'sa', 'chambre': 'S@bR', 'était': 'etE', 'en': '@'}","a-p-RE   my-ni-si-pa-l   tu-t   la   vi-l   e-tE   @   de-zO-R-d-R   ,except [""l'élection""], check the phon for: {'après': 'apRE', 'toute': 'tut', 'la': 'la', 'était': 'etE', 'en': '@'}"
43,Thomas a ouvert la porte après avoir tiré de toutes ses forces.,Emma est entrée après avoir rassemblé ses dernières forces.,forces,51,"26, check the cv for: {'a': 1, 'ouvert': 3, 'la': 1, 'porte': 3, 'après': 3, 'avoir': 4, 'tiré': 2, 'de': 1, 'toutes': 2, 'ses': 1, 'forces': 3}",12,50,"24, except ['emma'], check the cv for: {'est': 1, 'entrée': 3, 'après': 3, 'avoir': 4, 'ses': 1, 'dernières': 5, 'forces': 3}",9,1,3,"to-ma   a   u-vE-R   la   pO-R-t   a-p-RE   a-v-wa-R   ti-Re   d2   tu-t   se   fO-R-s   ,check the cv for: {'a': 'a', 'ouvert': 'uvER', 'la': 'la', 'porte': 'pORt', 'après': 'apRE', 'avoir': 'avwaR', 'tiré': 'tiRe', 'de': 'd2', 'toutes': 'tut', 'ses': 'se', 'forces': 'fORs'}","e   @-t-Re   a-p-RE   a-v-wa-R   Ra-s@-b-le   se   dE-R-n-jE-R   fO-R-s   ,except ['emma'], check the phon for: {'est': 'e', 'entrée': '@tRe', 'après': 'apRE', 'avoir': 'avwaR', 'ses': 'se', 'dernières': 'dERnjER', 'forces': 'fORs'}"
44,Robert pourrait réparer le vélo s'il avait les bons outils.,Elle doit encore apprendre à utiliser les bons outils.,outils,49,"17, except [""s'il""], check the cv for: {'le': 1, 'avait': 2, 'les': 1, 'bons': 1}",10,45,"21, check the cv for: {'doit': 2, 'les': 1, 'bons': 1}",9,4,1,"Ro-bE-R   pu-RE   Re-pa-Re   l2   ve-lo   a-vE   le   b§   u-ti   ,except [""s'il""], check the phon for: {'le': 'l2', 'avait': 'avE', 'les': 'le', 'bons': 'b§'}","E-l   d-wa   @-kO-R   a-p-R@-d-R   a   y-ti-li-ze   le   b§   u-ti   ,check the cv for: {'doit': 'dwa', 'les': 'le', 'bons': 'b§'}"
45,"Après trois semaines, il y avait une pile de vêtements sales à laver.","Après quelques mois, ils ont recruté un homme pour tout laver.",laver,55,"21, except ['semaines', 'vêtements'], check the cv for: {'après': 3, 'il': 2, 'y': 1, 'avait': 2, 'une': 2, 'pile': 2, 'de': 1, 'sales': 2}",13,50,"19, except ['recruté'], check the cv for: {'après': 3, 'ont': 1, 'un': 1, 'pour': 2, 'tout': 1}",11,5,2,"a-p-RE   t-R-wa   i-l   i   a-vE   y-n   pi-l   d2   sa-l   a   la-ve   ,except ['semaines', 'vêtements'], check the phon for: {'après': 'apRE', 'il': 'il', 'y': 'i', 'avait': 'avE', 'une': 'yn', 'pile': 'pil', 'de': 'd2', 'sales': 'sal'}","a-p-RE   kE-l-k   m-wa   i-l   §   1   O-m   pu-R   tu   la-ve   ,except ['recruté'], check the phon for: {'après': 'apRE', 'ont': '§', 'un': '1', 'pour': 'puR', 'tout': 'tu'}"
46,Daniel était contrarié que son équipe de basket n'ait pas gagné.,Camille était troublée qu'on lui dise qu'elle avait gagné.,gagné,53,"20, except ['daniel', ""n'ait""], check the cv for: {'était': 2, 'contrarié': 5, 'que': 1, 'son': 1, 'équipe': 3, 'de': 1, 'pas': 1, 'gagné': 2}",11,49,"14, except ['camille', ""qu'on"", ""qu'elle""], check the cv for: {'était': 2, 'troublée': 4, 'lui': 2, 'avait': 2, 'gagné': 2}",9,4,2,"e-tE   k§-t-Ra-R-je   k2   s§   e-ki-p   d2   ba-s-kE-t   pa   ga-Ne   ,except ['daniel', ""n'ait""], check the phon for: {'était': 'etE', 'contrarié': 'k§tRaRje', 'que': 'k2', 'son': 's§', 'équipe': 'ekip', 'de': 'd2', 'pas': 'pa', 'gagné': 'gaNe'}","e-tE   t-Ru-b-le   l-8i   di-z   a-vE   ga-Ne   ,except ['camille', ""qu'on"", ""qu'elle""], check the phon for: {'était': 'etE', 'troublée': 'tRuble', 'lui': 'l8i', 'avait': 'avE', 'gagné': 'gaNe'}"
47,L'enfant a pleuré quand elle a été piquée par une abeille.,Le visiteur était content quand il a deviné l'espèce de l'abeille.,abeille,47,"19, except [""l'enfant""], check the cv for: {'a': 1, 'quand': 1, 'été': 2, 'piquée': 2, 'par': 2, 'une': 2}",11,55,"14, except ['deviné', ""l'espèce"", ""l'abeille""], check the cv for: {'le': 1, 'était': 2, 'content': 2, 'quand': 1, 'il': 2, 'a': 1, 'de': 1}",11,-8,0,"a   p-l9-Re   k@   E-l   a   e-te   pi-ke   pa-R   y-n   a-bE-j   ,except [""l'enfant""], check the phon for: {'a': 'a', 'quand': 'k@', 'été': 'ete', 'piquée': 'pike', 'par': 'paR', 'une': 'yn'}","l2   vi-zi-t9-R   e-tE   k§-t@   k@   i-l   a   d2   ,except ['deviné', ""l'espèce"", ""l'abeille""], check the phon for: {'le': 'l2', 'était': 'etE', 'content': 'k§t@', 'quand': 'k@', 'il': 'il', 'a': 'a', 'de': 'd2'}"
48,Le pêcheur aimait passer ses journées sur son bateau.,L'équipe s'est entrainée de longues semaines sur son bateau.,bateau,44,"17, check the cv for: {'le': 1, 'passer': 2, 'ses': 1, 'sur': 2, 'son': 1}",9,51,"8, except [""l'équipe"", ""s'est"", 'entrainée', 'semaines'], check the cv for: {'de': 1, 'longues': 2, 'sur': 2, 'son': 1}",9,-7,0,"l2   pE-S9-R   E-mE   pa-se   se   Zu-R-ne   sy-R   s§   ba-to   ,check the cv for: {'le': 'l2', 'passer': 'pase', 'ses': 'se', 'sur': 'syR', 'son': 's§'}","d2   l§-g   sy-R   s§   ba-to   ,except [""l'équipe"", ""s'est"", 'entrainée', 'semaines'], check the phon for: {'de': 'd2', 'longues': 'l§g', 'sur': 'syR', 'son': 's§'}"
49,La petite fille a trébuché et s'est immédiatement mise à pleurer.,Le petit garçon était assis et s'est tout d'un coup mis à pleurer.,pleurer,54,"15, except ['petite', ""s'est"", 'immédiatement'], check the cv for: {'la': 1, 'a': 1, 'mise': 2}",11,53,"16, except ['petit', ""s'est"", ""d'un""], check the cv for: {'le': 1, 'était': 2, 'assis': 2, 'tout': 1, 'mis': 1}",13,1,-2,"la   fi-j   a   t-Re-by-Se   e   mi-z   a   p-l2-Re   ,except ['petite', ""s'est"", 'immédiatement'], check the phon for: {'la': 'la', 'a': 'a', 'mise': 'miz'}","l2   ga-R-s§   e-tE   a-si   e   tu   ku   mi   a   p-l2-Re   ,except ['petit', ""s'est"", ""d'un""], check the phon for: {'le': 'l2', 'était': 'etE', 'assis': 'asi', 'tout': 'tu', 'mis': 'mi'}"
50,"Pour honorer la mort de son collègue, Kim a assisté à son enterrement.","Pour aider la famille de sa femme, Diego a organisé l'enterrement.",enterrement,56,"20, except ['kim', 'enterrement'], check the cv for: {'pour': 2, 'la': 1, 'mort': 2, 'de': 1, 'son': 1, 'a': 1, 'assisté': 4}",13,54,"18, except ['diego', ""l'enterrement""], check the cv for: {'pour': 2, 'la': 1, 'de': 1, 'sa': 1, 'a': 1, 'organisé': 5}",11,2,2,"pu-R   o-no-Re   la   mO-R   d2   s§   ko-lE-g   a   a-si-s-te   a   s§   ,except ['kim', 'enterrement'], check the phon for: {'pour': 'puR', 'la': 'la', 'mort': 'mOR', 'de': 'd2', 'son': 's§', 'a': 'a', 'assisté': 'asiste'}","pu-R   e-de   la   fa-mi-j   d2   sa   fa-m   a   O-R-ga-ni-ze   ,except ['diego', ""l'enterrement""], check the phon for: {'pour': 'puR', 'la': 'la', 'de': 'd2', 'sa': 'sa', 'a': 'a', 'organisé': 'ORganize'}"
51,Le nouveau président estime que personne ne devrait vivre dans la pauvreté.,L'homme lui a dit que son enfance s'était déroulée dans la pauvreté.,pauvreté,63,"22, except ['devrait', 'pauvreté'], check the cv for: {'le': 1, 'nouveau': 2, 'président': 4, 'estime': 4, 'que': 1, 'personne': 4, 'vivre': 3, 'la': 1}",12,56,"14, except [""l'homme"", ""s'était"", 'pauvreté'], check the cv for: {'lui': 2, 'a': 1, 'dit': 1, 'que': 1, 'son': 1, 'la': 1}",12,7,0,"l2   nu-vo   p-Re-zi-d@   E-s-ti-m   k2   pE-R-sO-n   n2   vi-v-R   d@   la   ,except ['devrait', 'pauvreté'], check the phon for: {'le': 'l2', 'nouveau': 'nuvo', 'président': 'pRezid@', 'estime': 'Estim', 'que': 'k2', 'personne': 'pERsOn', 'vivre': 'vivR', 'la': 'la'}","l-8i   a   di   k2   s§   @-f@-s   de-Ru-le   d@   la   ,except [""l'homme"", ""s'était"", 'pauvreté'], check the phon for: {'lui': 'l8i', 'a': 'a', 'dit': 'di', 'que': 'k2', 'son': 's§', 'la': 'la'}"
52,"Dans de nombreuses phrases, le nom est suivi d'un verbe.","Dans cette phrase, la parenthèse est suivie d'un verbe.",verbe,45,"18, except [""d'un""], check the cv for: {'de': 1, 'phrases': 3, 'le': 1, 'est': 1, 'suivi': 3}",10,45,"18, except [""d'un""], check the cv for: {'phrase': 3, 'la': 1, 'est': 1, 'suivie': 3}",9,0,1,"d@   d2   n§-b-R2-z   f-Ra-z   l2   n§   e   s-8i-vi   vE-R-b   ,except [""d'un""], check the phon for: {'de': 'd2', 'phrases': 'fRaz', 'le': 'l2', 'est': 'e', 'suivi': 's8ivi'}","d@   sE-t   f-Ra-z   la   pa-R@-tE-z   e   s-8i-vi   vE-R-b   ,except [""d'un""], check the phon for: {'phrase': 'fRaz', 'la': 'la', 'est': 'e', 'suivie': 's8ivi'}"
