Predictable end sentence,Unpredictable end sentence,Taget word,pred_num_letters,pred_end_n_LPC,pred_num_words,unpred_num_letters,unpred_end_n_LPC,unpred_num_words,delta_tletters,delta_words,phon_pred,phon_unpred
Le pêcheur a accroché un ver de terre sur l'hameçon.,L'étudiant est très vite allé acheter un nouvel hameçon.,hameçon,42.0,"17, except [""l'hameçon""], check the cv for: {'le': 1, 'a': 1, 'accroché': 4, 'un': 1, 'ver': 2, 'de': 1, 'terre': 2, 'sur': 2}",10.0,47.0,"11, except [""l'étudiant"", 'acheter', 'hameçon'], check the cv for: {'est': 1, 'vite': 2, 'un': 1}",9.0,-5.0,1.0,"l2   pE-S9-R   a   a-k-Ro-Se   1   vE-R   d2   tE-R   sy-R   ,except [""l'hameçon""], check the phon for: {'le': 'l2', 'a': 'a', 'accroché': 'akRoSe', 'un': '1', 'ver': 'vER', 'de': 'd2', 'terre': 'tER', 'sur': 'syR'}","e   t-RE   vi-t   a-le   1   nu-vE-l   ,except [""l'étudiant"", 'acheter', 'hameçon'], check the phon for: {'est': 'e', 'vite': 'vit', 'un': '1'}"
Il voulait travailler pour mon entreprise et n'a pas hésité à signer le contrat.,Il a rapidement demandé un rendez-vous après avoir relu son nouveau contrat.,contrat,66.0,"23, except ['entreprise', ""n'a""], check the cv for: {'il': 2, 'pour': 2, 'mon': 1, 'pas': 1, 'le': 1}",14.0,64.0,"20, except ['rapidement', 'demandé', 'relu'], check the cv for: {'il': 2, 'a': 1, 'un': 1, 'après': 3, 'avoir': 4, 'son': 1, 'nouveau': 2}",13.0,2.0,1.0,"i-l   vu-lE   t-Ra-va-je   pu-R   m§   e   pa   e-zi-te   a   si-Ne   l2   k§-t-Ra   ,except ['entreprise', ""n'a""], check the phon for: {'il': 'il', 'pour': 'puR', 'mon': 'm§', 'pas': 'pa', 'le': 'l2'}","i-l   a   1   R@-de   vu   a-p-RE   a-v-wa-R   s§   nu-vo   k§-t-Ra   ,except ['rapidement', 'demandé', 'relu'], check the phon for: {'il': 'il', 'a': 'a', 'un': '1', 'après': 'apRE', 'avoir': 'avwaR', 'son': 's§', 'nouveau': 'nuvo'}"
"Après une ballade dans les champs, mes bottes étaient couvertes de boue.","Après avoir été lavé, le col n'était plus taché de boue.",boue,59.0,"22, check the cv for: {'après': 3, 'une': 2, 'les': 1, 'mes': 1, 'bottes': 2, 'étaient': 2, 'couvertes': 4, 'de': 1}",12.0,44.0,"20, except [""n'était""], check the cv for: {'après': 3, 'avoir': 4, 'été': 2, 'lavé': 2, 'le': 1, 'plus': 2, 'de': 1}",11.0,15.0,1.0,"a-p-RE   y-n   ba-la-d   d@   le   S@   me   bO-t   e-tE   ku-vE-R-t   d2   bu   ,check the cv for: {'après': 'apRE', 'une': 'yn', 'les': 'le', 'mes': 'me', 'bottes': 'bOt', 'étaient': 'etE', 'couvertes': 'kuvERt', 'de': 'd2'}","a-p-RE   a-v-wa-R   e-te   la-ve   l2   kO-l   p-ly   ta-Se   d2   bu   ,except [""n'était""], check the phon for: {'après': 'apRE', 'avoir': 'avwaR', 'été': 'ete', 'lavé': 'lave', 'le': 'l2', 'plus': 'ply', 'de': 'd2'}"
"Pour entrer dans la maison, l'inspecteur a dû montrer son badge.","Pour avoir participé à la course, l'enfant a reçu un badge.",badge,52.0,"18, except [""l'inspecteur""], check the cv for: {'pour': 2, 'la': 1, 'a': 1, 'dû': 1, 'son': 1}",11.0,47.0,"21, except [""l'enfant"", 'reçu'], check the cv for: {'pour': 2, 'avoir': 4, 'la': 1, 'course': 3, 'a': 1, 'un': 1}",11.0,5.0,0.0,"pu-R   @-t-Re   d@   la   mE-z§   a   dy   m§-t-Re   s§   ba-d-Z   ,except [""l'inspecteur""], check the phon for: {'pour': 'puR', 'la': 'la', 'a': 'a', 'dû': 'dy', 'son': 's§'}","pu-R   a-v-wa-R   pa-R-ti-si-pe   a   la   ku-R-s   a   1   ba-d-Z   ,except [""l'enfant"", 'reçu'], check the phon for: {'pour': 'puR', 'avoir': 'avwaR', 'la': 'la', 'course': 'kuRs', 'a': 'a', 'un': '1'}"
L'annonce de soldes très importantes a attiré une immense foule.,La boutique d'accessoires était dans un quartier éloigné de la foule.,foule,54.0,"22, except [""l'annonce""], check the cv for: {'de': 1, 'a': 1, 'une': 2, 'foule': 2}",10.0,58.0,"20, except [""d'accessoires""], check the cv for: {'la': 1, 'était': 2, 'un': 1, 'éloigné': 4, 'de': 1, 'foule': 2}",11.0,-4.0,-1.0,"d2   sO-l-d   t-RE   5-pO-R-t@-t   a   a-ti-Re   y-n   i-m@-s   fu-l   ,except [""l'annonce""], check the phon for: {'de': 'd2', 'a': 'a', 'une': 'yn', 'foule': 'ful'}","la   bu-ti-k   e-tE   d@   1   ka-R-t-je   e-l-wa-Ne   d2   la   fu-l   ,except [""d'accessoires""], check the phon for: {'la': 'la', 'était': 'etE', 'un': '1', 'éloigné': 'elwaNe', 'de': 'd2', 'foule': 'ful'}"
Manon a été triste de découvrir que son poisson rouge était mort.,Dina a été surprise d'apprendre que son meilleur ami était mort.,mort,53.0,"24, except ['manon'], check the cv for: {'a': 1, 'été': 2, 'de': 1, 'que': 1, 'son': 1, 'rouge': 2, 'était': 2, 'mort': 2}",12.0,53.0,"20, except ['dina', ""d'apprendre""], check the cv for: {'a': 1, 'été': 2, 'surprise': 5, 'que': 1, 'son': 1, 'meilleur': 4, 'ami': 2, 'était': 2, 'mort': 2}",11.0,0.0,1.0,"a   e-te   t-Ri-s-t   d2   de-ku-v-Ri-R   k2   s§   p-wa-s§   Ru-Z   e-tE   mO-R   ,except ['manon'], check the phon for: {'a': 'a', 'été': 'ete', 'de': 'd2', 'que': 'k2', 'son': 's§', 'rouge': 'RuZ', 'était': 'etE', 'mort': 'mOR'}","a   e-te   sy-R-p-Ri-z   k2   s§   mE-j-9-R   a-mi   e-tE   mO-R   ,except ['dina', ""d'apprendre""], check the phon for: {'a': 'a', 'été': 'ete', 'surprise': 'syRpRiz', 'que': 'k2', 'son': 's§', 'meilleur': 'mEj9R', 'ami': 'ami', 'était': 'etE', 'mort': 'mOR'}"
Elle a suggéré à son petit ami barbu de se raser.,Il a dit à son frère qu'il devait vraiment se raser.,raser,38.0,"18, except ['petit'], check the cv for: {'a': 1, 'son': 1, 'ami': 2, 'barbu': 3, 'de': 1}",11.0,41.0,"15, except [""qu'il"", 'devait'], check the cv for: {'il': 2, 'a': 1, 'dit': 1, 'son': 1}",11.0,-3.0,0.0,"E-l   a   sy-g-Ze-Re   a   s§   a-mi   ba-R-by   d2   s2   Ra-ze   ,except ['petit'], check the phon for: {'a': 'a', 'son': 's§', 'ami': 'ami', 'barbu': 'baRby', 'de': 'd2'}","i-l   a   di   a   s§   f-RE-R   v-RE-m@   s2   Ra-ze   ,except [""qu'il"", 'devait'], check the phon for: {'il': 'il', 'a': 'a', 'dit': 'di', 'son': 's§'}"
Il avait peur des microbes et craignait de tomber malade.,Il est entré dans cette chambre et est maintenant malade.,malade,47.0,"21, check the cv for: {'il': 2, 'avait': 2, 'de': 1, 'malade': 3}",10.0,47.0,"17, except ['maintenant'], check the cv for: {'il': 2, 'est': 1, 'chambre': 3, 'malade': 3}",10.0,0.0,0.0,"i-l   a-vE   p2-R   de   mi-k-RO-b   e   k-RE-NE   d2   t§-be   ma-la-d   ,check the cv for: {'il': 'il', 'avait': 'avE', 'de': 'd2', 'malade': 'malad'}","i-l   e   @-t-Re   d@   sE-t   S@-b-R   e   e   ma-la-d   ,except ['maintenant'], check the phon for: {'il': 'il', 'est': 'e', 'chambre': 'S@bR', 'malade': 'malad'}"
La fillette a reçu ce cadeau pour son anniversaire.,Elle s'est acheté une tenue pour son anniversaire.,anniversaire,42.0,"18, except ['reçu'], check the cv for: {'la': 1, 'a': 1, 'ce': 1, 'pour': 2, 'son': 1, 'anniversaire': 6}",9.0,42.0,"13, except [""s'est"", 'acheté', 'tenue'], check the cv for: {'une': 2, 'pour': 2, 'son': 1, 'anniversaire': 6}",8.0,0.0,1.0,"la   fi-j-E-t   a   s2   ka-do   pu-R   s§   a-ni-vE-R-sE-R   ,except ['reçu'], check the phon for: {'la': 'la', 'a': 'a', 'ce': 's2', 'pour': 'puR', 'son': 's§', 'anniversaire': 'anivERsER'}","E-l   y-n   pu-R   s§   a-ni-vE-R-sE-R   ,except [""s'est"", 'acheté', 'tenue'], check the phon for: {'une': 'yn', 'pour': 'puR', 'son': 's§', 'anniversaire': 'anivERsER'}"
Albert vivait dans une cabane qu'il avait lui-même construite.,Hugo regardait la grande fontaine que sa mère avait construite.,construite,53.0,"20, except ['albert', ""qu'il""], check the cv for: {'une': 2, 'avait': 2, 'lui': 2, 'même': 2}",10.0,53.0,"19, except ['hugo', 'regardait'], check the cv for: {'la': 1, 'grande': 3, 'que': 1, 'sa': 1, 'avait': 2}",10.0,0.0,0.0,"vi-vE   d@   y-n   ka-ba-n   a-vE   l-8i   mE-m   k§-s-t-R-8i-t   ,except ['albert', ""qu'il""], check the phon for: {'une': 'yn', 'avait': 'avE', 'lui': 'l8i', 'même': 'mEm'}","la   g-R@-d   f§-tE-n   k2   sa   mE-R   a-vE   k§-s-t-R-8i-t   ,except ['hugo', 'regardait'], check the phon for: {'la': 'la', 'grande': 'gR@d', 'que': 'k2', 'sa': 'sa', 'avait': 'avE'}"
Pour arriver à temps il aurait dû marcher plus vite.,"Pour ne pas avoir faim, il aurait dû manger plus vite.",vite,42.0,"19, check the cv for: {'pour': 2, 'il': 2, 'aurait': 2, 'dû': 1, 'plus': 2, 'vite': 2}",10.0,42.0,"20, check the cv for: {'pour': 2, 'pas': 1, 'avoir': 4, 'il': 2, 'aurait': 2, 'dû': 1, 'manger': 2, 'plus': 2, 'vite': 2}",11.0,0.0,-1.0,"pu-R   a-Ri-ve   a   t@   i-l   o-RE   dy   ma-R-Se   p-ly   vi-t   ,check the cv for: {'pour': 'puR', 'il': 'il', 'aurait': 'oRE', 'dû': 'dy', 'plus': 'ply', 'vite': 'vit'}","pu-R   n2   pa   a-v-wa-R   f5   i-l   o-RE   dy   m@-Ze   p-ly   vi-t   ,check the cv for: {'pour': 'puR', 'pas': 'pa', 'avoir': 'avwaR', 'il': 'il', 'aurait': 'oRE', 'dû': 'dy', 'manger': 'm@Ze', 'plus': 'ply', 'vite': 'vit'}"
"Avec des vêtements éparpillés partout, sa chambre était en désordre.","Après l'élection municipale, toute la ville était en désordre.",désordre,57.0,"24, except ['vêtements'], check the cv for: {'éparpillés': 5, 'sa': 1, 'chambre': 3, 'était': 2, 'en': 1}",10.0,52.0,"21, except [""l'élection""], check the cv for: {'après': 3, 'toute': 2, 'la': 1, 'était': 2, 'en': 1}",9.0,5.0,1.0,"a-vE-k   de   e-pa-R-pi-je   pa-R-tu   sa   S@-b-R   e-tE   @   de-zO-R-d-R   ,except ['vêtements'], check the phon for: {'éparpillés': 'epaRpije', 'sa': 'sa', 'chambre': 'S@bR', 'était': 'etE', 'en': '@'}","a-p-RE   my-ni-si-pa-l   tu-t   la   vi-l   e-tE   @   de-zO-R-d-R   ,except [""l'élection""], check the phon for: {'après': 'apRE', 'toute': 'tut', 'la': 'la', 'était': 'etE', 'en': '@'}"
"Pour ouvrir la porte, Thomas a tiré de toutes ses forces.","Pour réussir à l'examen, Emma ne manquait pas de forces.",forces,45.0,"22, check the cv for: {'pour': 2, 'la': 1, 'porte': 3, 'a': 1, 'tiré': 2, 'de': 1, 'toutes': 2, 'ses': 1, 'forces': 3}",11.0,45.0,"15, except [""l'examen"", 'emma'], check the cv for: {'pour': 2, 'pas': 1, 'de': 1, 'forces': 3}",10.0,0.0,1.0,"pu-R   u-v-Ri-R   la   pO-R-t   to-ma   a   ti-Re   d2   tu-t   se   fO-R-s   ,check the cv for: {'pour': 'puR', 'la': 'la', 'porte': 'pORt', 'a': 'a', 'tiré': 'tiRe', 'de': 'd2', 'toutes': 'tut', 'ses': 'se', 'forces': 'fORs'}","pu-R   Re-y-si-R   a   n2   m@-kE   pa   d2   fO-R-s   ,except [""l'examen"", 'emma'], check the phon for: {'pour': 'puR', 'pas': 'pa', 'de': 'd2', 'forces': 'fORs'}"
Robert pourrait réparer le vélo s'il avait de meilleurs outils.,Elle doit encore apprendre à utiliser les bons outils.,outils,53.0,"20, except [""s'il""], check the cv for: {'le': 1, 'avait': 2, 'de': 1, 'meilleurs': 4}",10.0,45.0,"21, check the cv for: {'doit': 2, 'les': 1, 'bons': 1}",9.0,8.0,1.0,"Ro-bE-R   pu-RE   Re-pa-Re   l2   ve-lo   a-vE   d2   mE-j-9-R   u-ti   ,except [""s'il""], check the phon for: {'le': 'l2', 'avait': 'avE', 'de': 'd2', 'meilleurs': 'mEj9R'}","E-l   d-wa   @-kO-R   a-p-R@-d-R   a   y-ti-li-ze   le   b§   u-ti   ,check the cv for: {'doit': 'dwa', 'les': 'le', 'bons': 'b§'}"
"Après deux semaines, il y avait plein de vêtements sales à laver.","Après quelques mois, ils ont engagé un homme pour tout laver.",laver,52.0,"17, except ['semaines', 'vêtements'], check the cv for: {'après': 3, 'il': 2, 'y': 1, 'avait': 2, 'plein': 2, 'de': 1, 'sales': 2}",12.0,49.0,"22, check the cv for: {'après': 3, 'ont': 1, 'engagé': 3, 'un': 1, 'pour': 2, 'tout': 1}",11.0,3.0,1.0,"a-p-RE   d2   i-l   i   a-vE   p-l5   d2   sa-l   a   la-ve   ,except ['semaines', 'vêtements'], check the phon for: {'après': 'apRE', 'il': 'il', 'y': 'i', 'avait': 'avE', 'plein': 'pl5', 'de': 'd2', 'sales': 'sal'}","a-p-RE   kE-l-k   m-wa   i-l   §   @-ga-Ze   1   O-m   pu-R   tu   la-ve   ,check the cv for: {'après': 'apRE', 'ont': '§', 'engagé': '@gaZe', 'un': '1', 'pour': 'puR', 'tout': 'tu'}"
Kevin était deçu que son équipe de basket n'ait pas gagné.,Camille était très surprise que son mari n'ait pas gagné. ,gagné,47.0,"15, except ['kevin', 'deçu', ""n'ait""], check the cv for: {'était': 2, 'que': 1, 'son': 1, 'équipe': 3, 'de': 1, 'pas': 1, 'gagné': 2}",11.0,47.0,"16, except ['camille', ""n'ait"", ''], check the cv for: {'était': 2, 'surprise': 5, 'que': 1, 'son': 1, 'pas': 1, 'gagné': 2}",11.0,0.0,0.0,"e-tE   k2   s§   e-ki-p   d2   ba-s-kE-t   pa   ga-Ne   ,except ['kevin', 'deçu', ""n'ait""], check the phon for: {'était': 'etE', 'que': 'k2', 'son': 's§', 'équipe': 'ekip', 'de': 'd2', 'pas': 'pa', 'gagné': 'gaNe'}","e-tE   t-RE   sy-R-p-Ri-z   k2   s§   ma-Ri   pa   ga-Ne   ,except ['camille', ""n'ait"", ''], check the phon for: {'était': 'etE', 'surprise': 'syRpRiz', 'que': 'k2', 'son': 's§', 'pas': 'pa', 'gagné': 'gaNe'}"
En s'approchant d'une ruche elle a été piquée par une abeille.,En regardant son livre il a deviné l'espèce de l'abeille.,abeille,51.0,"17, except [""s'approchant"", ""d'une""], check the cv for: {'en': 1, 'a': 1, 'été': 2, 'piquée': 2, 'par': 2, 'une': 2}",11.0,47.0,"9, except ['regardant', 'deviné', ""l'espèce"", ""l'abeille""], check the cv for: {'en': 1, 'son': 1, 'livre': 3, 'il': 2, 'a': 1, 'de': 1}",10.0,4.0,1.0,"@   Ry-S   E-l   a   e-te   pi-ke   pa-R   y-n   a-bE-j   ,except [""s'approchant"", ""d'une""], check the phon for: {'en': '@', 'a': 'a', 'été': 'ete', 'piquée': 'pike', 'par': 'paR', 'une': 'yn'}","@   s§   li-v-R   i-l   a   d2   ,except ['regardant', 'deviné', ""l'espèce"", ""l'abeille""], check the phon for: {'en': '@', 'son': 's§', 'livre': 'livR', 'il': 'il', 'a': 'a', 'de': 'd2'}"
Le pêcheur aimait passer la journée en mer sur son bateau.,L'équipe s'est entrainée de très longues semaines sur son bateau.,bateau,47.0,"20, check the cv for: {'le': 1, 'passer': 2, 'la': 1, 'en': 1, 'sur': 2, 'son': 1}",11.0,55.0,"10, except [""l'équipe"", ""s'est"", 'entrainée', 'semaines'], check the cv for: {'de': 1, 'longues': 2, 'sur': 2, 'son': 1}",10.0,-8.0,1.0,"l2   pE-S9-R   E-mE   pa-se   la   Zu-R-ne   @   mE-R   sy-R   s§   ba-to   ,check the cv for: {'le': 'l2', 'passer': 'pase', 'la': 'la', 'en': '@', 'sur': 'syR', 'son': 's§'}","d2   t-RE   l§-g   sy-R   s§   ba-to   ,except [""l'équipe"", ""s'est"", 'entrainée', 'semaines'], check the phon for: {'de': 'd2', 'longues': 'l§g', 'sur': 'syR', 'son': 's§'}"
La petite fille s'est cognée et s'est immédiatement mise à pleurer.,Le vieil homme était assis et s'est brusquement mis à pleurer.,pleurer,56.0,"12, except ['petite', ""s'est"", ""s'est"", 'immédiatement'], check the cv for: {'la': 1, 'cognée': 2, 'mise': 2}",11.0,51.0,"16, except [""s'est"", 'brusquement'], check the cv for: {'le': 1, 'était': 2, 'assis': 2, 'mis': 1}",11.0,5.0,0.0,"la   fi-j   ko-Ne   e   mi-z   a   p-l2-Re   ,except ['petite', ""s'est"", ""s'est"", 'immédiatement'], check the phon for: {'la': 'la', 'cognée': 'koNe', 'mise': 'miz'}","l2   v-jE-j   O-m   e-tE   a-si   e   mi   a   p-l2-Re   ,except [""s'est"", 'brusquement'], check the phon for: {'le': 'l2', 'était': 'etE', 'assis': 'asi', 'mis': 'mi'}"
"Pour honorer la mort de son collègue, Kim a assisté à son enterrement.","Pour aider la famille de sa femme, Diego a organisé tout l'enterrement.",enterrement,56.0,"20, except ['kim', 'enterrement'], check the cv for: {'pour': 2, 'la': 1, 'mort': 2, 'de': 1, 'son': 1, 'a': 1, 'assisté': 4}",13.0,58.0,"19, except ['diego', ""l'enterrement""], check the cv for: {'pour': 2, 'la': 1, 'de': 1, 'sa': 1, 'a': 1, 'organisé': 5, 'tout': 1}",12.0,-2.0,1.0,"pu-R   o-no-Re   la   mO-R   d2   s§   ko-lE-g   a   a-si-s-te   a   s§   ,except ['kim', 'enterrement'], check the phon for: {'pour': 'puR', 'la': 'la', 'mort': 'mOR', 'de': 'd2', 'son': 's§', 'a': 'a', 'assisté': 'asiste'}","pu-R   e-de   la   fa-mi-j   d2   sa   fa-m   a   O-R-ga-ni-ze   tu   ,except ['diego', ""l'enterrement""], check the phon for: {'pour': 'puR', 'la': 'la', 'de': 'd2', 'sa': 'sa', 'a': 'a', 'organisé': 'ORganize', 'tout': 'tu'}"
Il apprécie la richesse car il a grandi dans la pauvreté.,Mon professeur m'a dit qu'il avait toujours eu peur de la pauvreté.,pauvreté,46.0,"20, except ['pauvreté'], check the cv for: {'il': 2, 'la': 1, 'car': 2, 'a': 1}",11.0,55.0,"17, except [""m'a"", ""qu'il"", 'pauvreté'], check the cv for: {'mon': 1, 'dit': 1, 'avait': 2, 'eu': 1, 'de': 1, 'la': 1}",12.0,-9.0,-1.0,"i-l   a-p-Re-si   la   Ri-SE-s   ka-R   i-l   a   g-R@-di   d@   la   ,except ['pauvreté'], check the phon for: {'il': 'il', 'la': 'la', 'car': 'kaR', 'a': 'a'}","m§   p-Ro-fE-s9-R   di   a-vE   tu-Zu-R   y   p2-R   d2   la   ,except [""m'a"", ""qu'il"", 'pauvreté'], check the phon for: {'mon': 'm§', 'dit': 'di', 'avait': 'avE', 'eu': 'y', 'de': 'd2', 'la': 'la'}"
J'ai entendu miauler un chat.,Je suis allé acheter un chat.,chat,24.0,"8, except [""j'ai""], check the cv for: {'entendu': 3, 'un': 1}",5.0,23.0,"7, except ['acheter'], check the cv for: {'je': 1, 'suis': 2, 'un': 1}",6.0,1.0,-1.0,"@-t@-dy   m-jo-le   1   Sa   ,except [""j'ai""], check the phon for: {'entendu': '@t@dy', 'un': '1'}","Z2   s-8i   a-le   1   Sa   ,except ['acheter'], check the phon for: {'je': 'Z2', 'suis': 's8i', 'un': '1'}"
